#,Item,Poste, Tax year/Année d'imposition             , Total (Number / Nombre) ,Total (Thousands of Dollars / Milliers de dollars),4999 and under/Moins de 4 999 (Number / Nombre),4999 and under/Moins de 4999 (Thousands /Milliers de dollars),5000 - 9999 (Number / Nombre),5000 - 9999 (Thousands of Dollars / Milliers de dollars),10000 - 14999 (Number / Nombre),10000 - 14999 (Thousands of Dollars / Milliers de dollars),15000 - 19999 (Number / Nombre),15000 - 19999 (Thousands of Dollars / Milliers de dollars),20000 - 24999 (Number / Nombre),20000 - 24999 (Thousands of Dollars / Milliers de dollars),25000 - 29999 (Number / Nombre),25000 - 29999 (Thousands of Dollars / Milliers de dollars),30000 - 34999 (Number / Nombre),30000 - 34999 (Thousands of Dollars / Milliers de dollars),35000 - 39999 (Number / Nombre),35000 - 39999 (Thousands of Dollars / Milliers de dollars),40000 - 44999 (Number / Nombre),40000 - 44999 (Thousands of Dollars / Milliers de dollars),45000 - 49999 (Number / Nombre),45000 - 49999 (Thousands of Dollars / Milliers de dollars),50000 - 54999 (Number / Nombre),50000 - 54999 (Thousands of Dollars / Milliers de dollars),55000 - 59999 (Number / Nombre),55000 - 59999 (Thousands of Dollars / Milliers de dollars),60000 - 69999 (Number / Nombre),60000 - 69999 (Thousands of Dollars / Milliers de dollars),70000 - 79999 (Number / Nombre),70000 - 79999 (Thousands of Dollars / Milliers de dollars),80000 - 89999 (Number / Nombre),80000 - 89999 (Thousands of Dollars / Milliers de dollars),90000 - 99999 (Number / Nombre),90000 - 99999 (Thousands of Dollars / Milliers de dollars),100000 - 149999 (Number / Nombre),100000 - 149999 (Thousands of Dollars / Milliers de dollars),150000 - 249999 (Number / Nombre),150000 - 249999 (Thousands of Dollars / Milliers de dollars),250000 and over/250000 et plus (Number / Nombre),250000 and over/250000 et plus (Thousands/Milliers de dollars)
45,Other deductions,Autres déductions,2023, 1629600,4705345,68880,84176,47460,52624,65220,72468,78780,93805,92620,118440,97090,116154,102930,126737,107780,123942,111750,128967,108470,125324,102280,118264,89850,109310,142000,184745,101140,151393,72570,122260,52410,105704,113860,394515,46920,519326,27600,1957191
46,Total deductions before adjustments,Total des déductions avant rajustements,2023, 21989670,153752316,439550,361227,730430,311938,887910,528618,944200,737145,988530,1015977,1030870,1358023,1082590,1818544,1115530,2338492,1152250,3021794,1165680,3734987,1149790,4365361,1068460,4915210,1868380,10891232,1548810,11294195,1302290,11136043,1083570,10734365,2743370,36153064,1172420,24704801,515050,24331299
47,Social benefits repayment,Remboursement des prestations de programmes sociaux,2023, 781040,3050412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4600,1443,69950,44797,130530,147082,338530,1089080,153500,1092678,83920,675329
48,Net income ,Revenu net,2023, 29546210,1741337299,1249260,2825417,1291570,9586271,1608880,19693022,1900330,32474990,2247930,49866731,1837990,49004084,1535740,48044901,1443370,51747937,1454660,58812446,1407710,63112758,1391040,68716490,1212230,64735771,2077340,123785961,1690760,115217021,1422820,109617422,1143920,97550768,2859010,304489929,1225230,201928034,546420,270127346
49,Canadian Forces personnel and police deduction,Déduction pour le personnel des Forces canadiennes et des forces policières,2023, 8830,216226,0,0,0,0,0,0,30,1,0,0,40,128,50,62,50,230,60,147,70,175,130,1134,210,3094,430,6403,1000,23260,1940,43538,1560,39976,2630,78035,520,18271,70,1724
50,Security options deductions,Déductions pour options d'achat de titres,2023, 36290,2663842,0,0,60,138,90,206,0,0,120,388,0,0,150,362,190,382,210,427,270,714,310,503,350,795,840,2389,1000,2950,1120,3510,1110,3653,5120,26179,9230,95011,15770,2522185
51,Other payments deduction,Déductions pour autres paiements,2023, 4666670,41404415,106170,280305,245920,1623398,473620,4138420,783500,7927541,1156510,11785722,724960,5079393,319620,2248738,175900,1389715,129630,1056951,100970,837620,80780,705993,65010,596231,92190,961416,61280,670578,42050,476336,29100,340928,60070,784936,15960,371676,3430,128520
52,Non-capital losses of other years,Pertes autres que des pertes en capital d'autres années,2023, 39160,513592,2270,2338,510,1779,650,2280,2480,4819,3400,10258,3430,14642,3330,15597,3040,16532,2730,17310,2260,15932,1990,15660,1620,15126,2570,23910,1890,20541,1410,17837,1020,14566,2410,44042,1250,38330,910,222091
53,Net capital losses of other years,Pertes en capital nettes d'autres années,2023, 538560,2125945,2260,2378,2320,4484,2780,5039,5330,7960,8600,11960,12420,15687,15250,21739,16660,23769,18860,27903,19840,28761,21850,31807,21500,34368,39720,71783,37400,73086,36980,77524,31290,69982,101600,293140,77800,354325,66120,970250
54,Capital gains deduction,Déduction pour gains en capital,2023, 60500,9296915,50,1413,40,295,30,287,190,788,440,1928,370,2428,540,4257,620,6460,800,10449,820,11758,920,16001,990,18586,2140,49472,2410,68942,2900,102175,2240,84773,8610,442486,10680,956252,25710,7518164
55,Northern residents deductions,Déductions pour les habitants de régions éloignées,2023, 267540,1222952,2960,1506,3090,4522,4230,9354,6700,18539,9590,31192,10830,37577,10660,38998,10890,41618,11120,44378,10870,44689,10800,44525,10650,44796,19830,88266,18090,83630,16740,81366,15220,75877,54050,293338,32250,190854,8980,47926
56,Additional deductions,Déductions supplémentaires,2023, 181590,1626569,6370,44120,6560,41386,6850,59794,8790,48869,15240,90999,19480,84954,15890,93219,12240,77536,10840,62040,9330,55734,8340,52277,7090,44945,10570,70035,7930,57559,6850,49524,4910,42316,12410,140310,7440,191945,4480,319007
57,Farming/fishing losses of prior years,Pertes provenant de la pêche et pertes agricoles d'autres années,2023, 10890,140982,0,0,0,0,30,147,340,645,540,1943,650,3097,660,3667,670,4531,660,4915,590,5024,520,5291,490,4270,840,8405,720,8414,620,8576,500,5935,1430,21229,900,18999,690,35469
58,Total deductions from net income,Total des déductions du revenu net,2023, 5675030,59289981,119300,333180,256790,1676877,485130,4216768,800030,8013538,1177780,11936109,751030,5240086,351370,2428361,211880,1562345,168880,1225845,140300,1001882,121770,874308,104420,763444,163800,1284532,127480,1011033,106920,863011,84190,679686,240100,2129223,148740,2241932,115130,11807821
59,Taxable income assessed,Revenu imposable établi,2023, 28763870,1682295517,1172360,2559534,1132930,7929009,1389380,15499257,1693100,24480992,2177530,37954320,1816860,43773251,1525890,45637120,1438120,50198085,1451280,57589251,1405490,62112938,1389400,67844889,1211070,63973985,2075650,122505142,1690060,114209690,1422450,108757312,1143620,96873571,2858180,302367468,1224580,199696895,545920,258332808
